price,link,rooms,total_area,kitchen_area,floor,renovation,house_type,passenger_lift,cargo_lift,parking,city,floors_total,smart_floor_ratio,house_age,city_specific_age_group,age_city_premium,is_spb_historical
9400000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_252_m_420_et._4463290923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,0,25.2,5.3,4,косметический,монолитный,1,1,открытая во дворе,Москва,20,0.2,8.0,мск_современная,1.0,0
22990000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_699_m_1825_et._7495690370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,69.9,10.2,18,евро,панельный,1,0,наземная многоуровневая,Москва,25,0.72,7.0,мск_современная,1.0,0
15944492.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_266_m_1920_et._7827716585?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,0,26.6,5.6,19,косметический,монолитный,1,1,подземная,Москва,20,1.14,8.0,мск_современная,1.0,0
23990000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_578_m_88_et._7584547510?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,2,57.8,25.0,8,косметический,кирпичный,1,0,за шлагбаумом во дворе,Москва,8,1.4,67.0,мск_старая,1.0,0
22200000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_443_m_3034_et._7749646563?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,44.3,16.0,30,требует ремонта,монолитный,2,4,подземная,Москва,34,0.8823529411764706,3.0,мск_новостройка,1.6,0
19400000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_681_m_99_et._7655971018?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,2,68.1,16.7,9,требует ремонта,монолитно-кирпичный,0,1,открытая во дворе,Москва,9,1.4,10.0,мск_современная,1.0,0
24500000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_569_m_58_et._7737252102?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,56.9,5.0,5,требует ремонта,кирпичный,1,0,за шлагбаумом во дворе,Москва,8,0.625,64.0,мск_старая,1.0,0
14485697.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_185_m_2764_et._7787230263?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,0,18.5,3.9,27,косметический,монолитный,1,1,подземная,Москва,64,0.421875,8.0,мск_современная,1.0,0
14000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_573_m_425_et._7630962943?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,2,57.3,10.0,4,косметический,панельный,2,1,открытая во дворе,Москва,25,0.16,14.0,мск_современная,1.0,0
10590000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_209_m_1026_et._7397165675?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,0,20.9,4.4,10,требует ремонта,монолитный,1,1,подземная,Москва,26,0.38461538461538464,1.0,мск_новостройка,1.6,0
