iter	RMSE
0	0.4411646416
1	0.3817707359
2	0.3388859886
3	0.3090040034
4	0.2881211138
5	0.2725471797
6	0.2624553127
7	0.2541374146
8	0.2489056045
9	0.2443139035
10	0.2406267819
11	0.2380208916
12	0.2363084998
13	0.2347242781
14	0.2329564369
15	0.2309882789
16	0.2296299785
17	0.2284138373
18	0.2272997712
19	0.2263209236
20	0.2250848237
21	0.2242487222
22	0.2231214319
23	0.2225416694
24	0.2214179294
25	0.2211061451
26	0.2203797452
27	0.2197207065
28	0.2192457634
29	0.218504801
30	0.2181810616
31	0.21775238
32	0.2176881201
33	0.217227158
34	0.2172105963
35	0.2171733258
36	0.2166688665
37	0.2161997663
38	0.2154553084
39	0.2149593963
40	0.2149486638
41	0.2145415129
42	0.2145217359
43	0.2143691387
44	0.2143168462
45	0.213697288
46	0.2136161032
47	0.2130213552
48	0.2127180004
49	0.2122658206
50	0.2122509469
51	0.2118909627
52	0.2118802526
53	0.2111107613
54	0.2105210007
55	0.2103561725
56	0.2102736659
57	0.2102047583
58	0.210199381
59	0.2096566783
60	0.2095665735
61	0.2090439466
62	0.2087416418
63	0.2087016456
64	0.2083574426
65	0.2076780522
66	0.2076578154
67	0.207643631
68	0.2072938696
69	0.2071510113
70	0.2069319519
71	0.2068827094
72	0.2068259866
73	0.2063790222
74	0.2063693812
75	0.2060587747
76	0.2059857745
77	0.2058221362
78	0.2054011549
79	0.2051471249
80	0.2049286573
81	0.204496086
82	0.2039559173
83	0.2036972932
84	0.2035408274
85	0.2035211275
86	0.2034800066
87	0.2033954669
88	0.2032279435
89	0.2031369801
90	0.2030638586
91	0.2027925727
92	0.2026908027
93	0.2025941053
94	0.202519172
95	0.202513381
96	0.2025006524
97	0.2024633911
98	0.2023727385
99	0.2020883668
100	0.2018687997
101	0.2015917229
102	0.2012652566
103	0.2010413697
104	0.2006657477
105	0.2001974711
106	0.200113305
107	0.2000770188
108	0.1999469844
109	0.1997981061
110	0.1996833372
111	0.1991639361
112	0.1991115639
113	0.1990149321
114	0.1989563833
115	0.1987035134
116	0.1983815554
117	0.1982624683
118	0.1982495523
119	0.1980339288
120	0.1978378481
121	0.1976989815
122	0.1975446936
123	0.197265351
124	0.1970135686
125	0.1968324949
126	0.1967732588
127	0.196509839
128	0.1964686545
129	0.19645411
130	0.1962400657
131	0.1960930508
132	0.1959187825
133	0.1957570997
134	0.1955751808
135	0.1953496391
136	0.1953073554
137	0.1951383924
138	0.1949686087
139	0.1946102177
140	0.1943604086
141	0.1941374593
142	0.1937753826
143	0.1935710982
144	0.1935600773
145	0.1934101362
146	0.1931628433
147	0.1928676648
148	0.1928613249
149	0.1928486517
150	0.1927261632
151	0.1924772376
152	0.1923670673
153	0.1921934423
154	0.1921633445
155	0.1919233867
156	0.1918807914
157	0.1917636984
158	0.1915622804
159	0.1915533397
160	0.1914737136
161	0.1913347033
162	0.1911820879
163	0.1911757846
164	0.1910171846
165	0.19076678
166	0.1906064104
167	0.190434913
168	0.1904133753
169	0.1902600733
170	0.1901750617
171	0.1899285192
172	0.189615673
173	0.1892877019
174	0.1890840523
175	0.1888445304
176	0.1888020314
177	0.1887950946
178	0.1887845864
179	0.1886721689
180	0.1885862263
181	0.1883864762
182	0.1883583774
183	0.1883086266
184	0.1881694065
185	0.1878656715
186	0.1877644804
187	0.1875657196
188	0.1874580824
189	0.1871780421
190	0.1870534521
191	0.1868808918
192	0.1866364151
193	0.1865993496
194	0.1865943279
195	0.1865387454
196	0.1862024122
197	0.1860780899
198	0.186018139
199	0.1859651043
200	0.1858244254
201	0.1856244115
202	0.1854511544
203	0.1853959327
204	0.1853064794
205	0.1852469726
206	0.1849668373
207	0.184808681
208	0.1846810054
209	0.1843994651
210	0.1842876536
211	0.184163756
212	0.183967223
213	0.1838742337
214	0.1836937004
215	0.1834527689
216	0.1833813038
217	0.183358861
218	0.1832545657
219	0.1828893076
220	0.1827799464
221	0.1827580072
222	0.1825932176
223	0.1824302655
224	0.182197573
225	0.1821913821
226	0.1821326077
227	0.1819062677
228	0.1817688984
229	0.1816007902
230	0.1814524986
231	0.1814348272
232	0.1810954859
233	0.1809990716
234	0.1809517182
235	0.1806843697
236	0.1806488367
237	0.1804449551
238	0.1802827676
