iter	Passed	Remaining
0	15	7290
1	29	7083
2	43	7083
3	58	7060
4	74	7163
5	89	7146
6	104	7155
7	123	7402
8	145	7731
9	172	8217
10	193	8354
11	210	8331
12	225	8193
13	246	8294
14	269	8464
15	285	8376
16	296	8179
17	311	8103
18	325	7998
19	339	7904
20	354	7859
21	369	7791
22	383	7717
23	395	7622
24	412	7598
25	428	7577
26	444	7560
27	460	7527
28	476	7501
29	491	7467
30	508	7460
31	522	7410
32	535	7355
33	549	7301
34	562	7247
35	574	7182
36	589	7152
37	602	7108
38	617	7074
39	629	7023
40	642	6974
41	661	6995
42	696	7180
43	711	7150
44	724	7100
45	738	7065
46	752	7032
47	767	7001
48	781	6969
49	800	6980
50	821	7007
51	837	6993
52	852	6964
53	871	6971
54	893	6999
55	907	6968
56	923	6949
57	938	6923
58	952	6893
59	966	6859
60	980	6830
61	994	6798
62	1006	6756
63	1021	6735
64	1036	6715
65	1051	6690
66	1064	6655
67	1077	6623
68	1091	6594
69	1103	6560
70	1118	6535
71	1132	6510
72	1151	6516
73	1180	6569
74	1223	6705
75	1259	6796
76	1277	6787
77	1290	6749
78	1303	6714
79	1319	6696
80	1338	6694
81	1357	6687
82	1374	6674
83	1389	6648
84	1403	6622
85	1421	6609
86	1435	6582
87	1454	6577
88	1473	6572
89	1497	6589
90	1519	6594
91	1543	6609
92	1568	6628
93	1583	6603
94	1604	6605
95	1621	6586
96	1637	6565
97	1650	6536
98	1669	6524
99	1691	6530
100	1720	6556
101	1750	6591
102	1771	6587
103	1792	6582
104	1813	6579
105	1830	6562
106	1846	6539
107	1861	6516
108	1877	6493
109	1893	6472
110	1909	6449
111	1924	6427
112	1941	6407
113	1956	6384
114	1972	6361
115	1988	6343
116	2007	6329
117	2026	6319
118	2044	6303
119	2060	6285
120	2077	6267
121	2094	6249
122	2112	6234
123	2127	6210
124	2141	6184
125	2156	6160
126	2171	6139
127	2187	6118
128	2204	6099
129	2220	6080
130	2238	6066
131	2255	6047
132	2270	6027
133	2287	6007
134	2302	5986
135	2317	5965
136	2331	5939
137	2343	5908
138	2357	5885
139	2371	5861
140	2386	5838
141	2400	5815
142	2415	5794
143	2430	5771
144	2442	5743
145	2457	5723
146	2472	5700
147	2485	5676
148	2499	5653
149	2513	5630
150	2530	5614
151	2546	5594
152	2561	5575
153	2575	5551
154	2594	5539
155	2607	5515
156	2622	5495
157	2636	5472
158	2650	5450
159	2663	5427
160	2676	5402
161	2689	5379
162	2706	5363
163	2721	5342
164	2736	5322
165	2753	5307
166	2767	5286
167	2782	5267
168	2804	5260
169	2831	5263
170	2847	5244
171	2861	5224
172	2875	5202
173	2888	5179
174	2918	5186
175	2944	5185
176	2968	5181
177	2999	5190
178	3031	5199
179	3060	5202
180	3091	5208
181	3116	5205
182	3140	5199
183	3163	5192
184	3188	5188
185	3210	5177
186	3238	5178
187	3260	5168
188	3283	5159
189	3300	5142
190	3318	5125
191	3336	5108
192	3353	5091
193	3371	5074
194	3392	5063
195	3412	5049
196	3430	5032
197	3447	5013
198	3464	4997
199	3482	4979
200	3498	4960
201	3515	4942
202	3532	4924
203	3548	4905
204	3565	4886
205	3590	4880
206	3626	4887
207	3662	4895
208	3696	4898
209	3727	4898
210	3750	4888
211	3782	4888
212	3810	4883
213	3842	4884
214	3869	4877
215	3894	4867
216	3915	4853
217	3930	4832
218	3947	4812
219	3966	4795
220	3982	4775
221	3996	4752
222	4013	4733
223	4037	4722
224	4056	4705
225	4078	4692
226	4098	4675
227	4113	4654
228	4142	4648
229	4159	4629
230	4176	4610
231	4192	4590
232	4215	4577
233	4235	4561
234	4255	4545
235	4280	4534
236	4298	4515
237	4314	4495
238	4331	4476
239	4346	4454
240	4358	4430
241	4372	4408
242	4386	4386
243	4399	4363
244	4413	4341
245	4426	4318
246	4444	4300
247	4462	4282
248	4481	4265
249	4498	4246
250	4513	4225
251	4526	4202
252	4546	4186
253	4560	4165
254	4573	4142
255	4586	4120
256	4600	4099
257	4614	4078
258	4627	4055
259	4639	4032
260	4653	4011
261	4667	3990
262	4682	3970
263	4695	3948
264	4714	3931
265	4728	3910
266	4742	3889
267	4755	3868
268	4771	3848
269	4786	3829
270	4801	3808
271	4815	3788
272	4830	3769
273	4843	3747
274	4856	3726
275	4870	3705
276	4884	3685
277	4899	3665
278	4917	3648
279	4937	3632
280	4969	3625
281	4987	3607
282	5005	3590
283	5019	3570
284	5033	3549
285	5047	3529
286	5067	3513
287	5086	3497
288	5101	3477
289	5115	3457
290	5134	3440
291	5149	3421
292	5162	3400
293	5177	3381
294	5192	3361
295	5209	3344
296	5226	3325
297	5239	3305
