Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Способ продажи,Вид сделки,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Дополнительно,Стоимость ремонта,Мебель,Год постройки,В доме,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Тёплый пол,Техника,Запланирован снос
59000000,https://www.avito.ru/ekaterinburg/kvartiry/4-k._kvartira_184_m_3030_et._7472412440?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,4,184 м²,25 м²,107 м²,30 из 30,лоджия,изолированные,3 м,"совмещенный, раздельный","во двор, на улицу",дизайнерский,свободная,возможна ипотека,монолитно-кирпичный,30,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,,,,,,,
9950000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_97_m_1414_et._7694728944?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,97 м²,11 м²,46.5 м²,14 из 14,лоджия,изолированные,,совмещенный,на улицу,косметический,свободная,возможна ипотека,кирпичный,14,1,1,"закрытая территория, детская площадка",подземная,панорамные окна,от 416 000 ₽ за 97 м²,кухня,2005,,,,,,,,,
28000000,https://www.avito.ru/ekaterinburg/kvartiry/5-k._kvartira_1564_m_2230_et._7492245939?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,5,156.4 м²,20 м²,70 м²,22 из 30,балкон,"изолированные, смежные",3 м,совмещенный,"во двор, на улицу, на солнечную сторону",требует ремонта,свободная,возможна ипотека,кирпичный,30,2,2,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",,от 1 564 000 ₽ за 156.4 м²,,2021,консьерж,,,,,,,,
7440000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_372_m_1730_et._7741171433?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,1,37.2 м²,10.9 м²,,17 из 30,,,,,,,,,монолитно-кирпичный,30,,,,,,,,,,предчистовая,ЖК «Голос Заря»,Дом №1,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,,,
4948000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_224_m_2226_et._7660776739?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,студия,22.4 м²,,11.4 м²,22 из 26,лоджия,,,совмещенный,на улицу,евро,свободная,возможна ипотека,монолитный,26,3,нет,,,,,,2024,,,,,,,,,
23050000,https://www.avito.ru/ekaterinburg/kvartiry/3-k._kvartira_1205_m_331_et._7786169213?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,3,120.5 м²,,61.3 м²,3 из 31,лоджия,,,,,,,,монолитно-кирпичный,31,,,,,,,,,,без отделки,ЖК «Clever park»,"3 очередь, 2 этап (д. 8)",ДДУ по ФЗ 214,Сдача в 3 кв. 2027,,,
32990000,https://www.avito.ru/ekaterinburg/kvartiry/4-k._kvartira_1356_m_930_et._7536278231?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,4,135.6 м²,15 м²,70 м²,9 из 30,лоджия,изолированные,2.7 м,совмещенный,во двор,дизайнерский,свободная,возможна ипотека,монолитный,30,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,,,,,,,
11150000,https://www.avito.ru/ekaterinburg/kvartiry/1-k._kvartira_454_m_1331_et._7686088094?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,1,45.4 м²,15.8 м²,13.3 м²,13 из 31,лоджия,,2.8 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,свободная,возможна ипотека,монолитный,31,4,2,"закрытая территория, детская площадка, спортивная площадка",подземная,гардеробная,,"кухня, хранение одежды, спальные места",2023,консьерж,,,,,,есть,"холодильник, стиральная машина, посудомоечная машина",да
7460000,https://www.avito.ru/ekaterinburg/kvartiry/2-k._kvartira_522_m_37_et._7272077712?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,2,52.2 м²,16.4 м²,20.3 м²,3 из 7,балкон,изолированные,2.7 м,совмещенный,во двор,,договор долевого участия,,монолитный,7,1,1,"детская площадка, спортивная площадка",,,,,,,предчистовая,Квартал «Депо»,Дом 7,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,,,
4300000,https://www.avito.ru/ekaterinburg/kvartiry/kvartira-studiya_24_m_1432_et._7588498849?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLZ3NOSkdTMHNDRjVJZUpXIjt9L7gVGz8AAAA,студия,24 м²,,14 м²,14 из 32,,,2.7 м,совмещенный,"во двор, на улицу",требует ремонта,свободная,возможна ипотека,панельный,32,2,1,закрытая территория,,,от 240 000 ₽ за 24 м²,,2025,,,,,,,,,
