Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Дополнительно,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Техника,Отделка,Название новостройки,Тип участия,Срок сдачи,Стоимость ремонта,Запланирован снос,"Корпус, строение"
33888000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_826_m_22_et._7575213827?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,82.6 м²,12.8 м²,44.6 м²,2 из 2,балкон,гардеробная,изолированные,3.2 м,раздельный,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места",свободная,возможна ипотека,кирпичный,1950,2,нет,нет,газ,"закрытая территория, детская площадка",за шлагбаумом во дворе,,,,,,,,
12600000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_643_m_710_et._7719171381?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,64.3 м²,9.5 м²,,7 из 10,лоджия,,изолированные,2.7 м,раздельный,"во двор, на улицу",дизайнерский,есть,"кухня, хранение одежды",свободная,,монолитный,2018,10,1,1,,"закрытая территория, детская площадка, спортивная площадка",наземная многоуровневая,"кондиционер, посудомоечная машина, водонагреватель",,,,,,,
7910000.0,https://www.avito.ru/kazan/kvartiry/1-k._apartamenty_221_m_827_et._7449007569?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,22.1 м²,,,8 из 27,,,,,раздельный,на улицу,,,,,,кирпичный,,27,,,,,,,чистовая,Комплекс апартаментов «YES Горки»,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,,,
16800000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_94_m_425_et._7391868507?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToieWN1YTRvNjFzYzR1dzhrMXM2bmF4czM3eTI2eTV0NyI7fQVVqCtzAAAA,2,94 м²,31 м²,,4 из 25,"балкон, лоджия",,изолированные,,раздельный,"во двор, на солнечную сторону",требует ремонта,,,свободная,возможна ипотека,монолитно-кирпичный,2022,25,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе, за шлагбаумом во дворе",,,,,,от 470 000 ₽ за 94 м²,,
3800000.0,https://www.avito.ru/kazan/kvartiry/1-k._kvartira_16_m_710_et._7720534259?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,16 м²,4 м²,12 м²,7 из 10,,,,2.7 м,совмещенный,"на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места",свободная,возможна ипотека,кирпичный,1976,10,2,,,детская площадка,открытая во дворе,"холодильник, стиральная машина",,,,,,,
6480000.0,https://www.avito.ru/kazan/kvartiry/1-k._kvartira_33_m_89_et._4810259869?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,33 м²,7 м²,20 м²,8 из 9,лоджия,,,270 м,совмещенный,во двор,косметический,,"кухня, хранение одежды, спальные места",свободная,,блочный,1990,9,1,,газ,"детская площадка, спортивная площадка","наземная многоуровневая, открытая во дворе","холодильник, стиральная машина",,,,,от 151 000 ₽ за 33 м²,,
8570000.0,https://www.avito.ru/kazan/kvartiry/1-k._apartamenty_286_m_1327_et._7449012169?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,28.6 м²,,,13 из 27,,,,,раздельный,на улицу,,,,,,кирпичный,,27,,,,,,,чистовая,Комплекс апартаментов «YES Горки»,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,,,
22000000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_64_m_417_et._7765849690?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,64 м²,20 м²,44 м²,4 из 17,балкон,гардеробная,изолированные,2.5 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места",свободная,возможна ипотека,монолитный,2017,17,1,1,,"детская площадка, спортивная площадка",подземная,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",,,,,,,
6890000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_484_m_710_et._7626244616?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToieWN1YTRvNjFzYzR1dzhrMXM2bmF4czM3eTI2eTV0NyI7fQVVqCtzAAAA,2,48.4 м²,10.4 м²,27 м²,7 из 10,балкон,,изолированные,2.7 м,раздельный,во двор,требует ремонта,,,свободная,,монолитно-кирпичный,2023,10,1,1,газ,"детская площадка, спортивная площадка",открытая во дворе,,,,,,от 242 000 ₽ за 48.4 м²,,
12900000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_499_m_13_et._7499689421?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,49.9 м²,5.4 м²,37.3 м²,1 из 3,,,смежные,3 м,совмещенный,во двор,требует ремонта,есть,,свободная,,кирпичный,1928,3,нет,нет,газ,,открытая во дворе,,,,,,от 250 000 ₽ за 49.9 м²,да,
