Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Этаж,Дополнительно,Тип комнат,Санузел,Окна,Ремонт,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Жилая площадь,Высота потолков,Отделка,Название новостройки,Тип участия,Срок сдачи,"Корпус, строение",Стоимость ремонта,Балкон или лоджия,Тёплый пол,Запланирован снос
86000000,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_66_m_3442_et._7741856158?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,66 м²,15 м²,34 из 42,"гардеробная, панорамные окна",изолированные,совмещенный,во двор,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2021,42,4,2,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,,,,,
9400000,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_252_m_420_et._4463290923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,студия,25.2 м²,,4 из 20,,,совмещенный,,,,,,,монолитный,,20,,,,,,16.9 м²,3 м,без отделки,EVOPARK Сокольники (ЭВОПАРК Сокольники),ДДУ по ФЗ 214,Сдача в 2 кв. 2026,,,,,
29625700,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_845_m_1425_et._7761521886?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,84.5 м²,,14 из 25,,,,"во двор, на улицу",,,,,,монолитный,,25,2,1,,,,,,предчистовая,ЖК 1-й Саларьевский,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,Корпус 6,,,,
22990000,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_699_m_1825_et._7495690370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,69.9 м²,10.2 м²,18 из 25,,изолированные,совмещенный,"во двор, на улицу",евро,"кухня, хранение одежды","кондиционер, посудомоечная машина",свободная,возможна ипотека,панельный,2019,25,1,,,"закрытая территория, детская площадка, спортивная площадка",наземная многоуровневая,37.1 м²,2.7 м,,,,,,,,,
50000000,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_42_m_2672_et._7637426111?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,студия,42 м²,,26 из 72,,,раздельный,,требует ремонта,,,альтернативная,,монолитный,,72,4,4,консьерж,,,,3.2 м,,,,,,от 693 000 ₽ за 42 м²,,,
225000000,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1542_m_33_et._7468755822?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,4,154.2 м²,19 м²,3 из 3,,изолированные,,,дизайнерский,,,свободная,,кирпичный,,3,,,,,,,3.3 м,,,,,,,,,
15944492,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_266_m_1920_et._7827716585?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,студия,26.6 м²,,19 из 20,,,,,,,,договор долевого участия,возможна ипотека,монолитный,,20,,,,"детская площадка, спортивная площадка",подземная,13.6 м²,,без отделки,ЖК «Михалковский»,ДДУ по ФЗ 214,Сдача в 1 кв. 2026,Корпус 5,,лоджия,,
23990000,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_578_m_88_et._7584547510?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,2,57.8 м²,25 м²,8 из 8,,изолированные,раздельный,"на улицу, на солнечную сторону",косметический,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",свободная,возможна ипотека,кирпичный,1959,8,1,нет,газ,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,20 м²,3 м,,,,,,,балкон,,
44414140,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_751_m_710_et._2526750223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,75.1 м²,7.8 м²,7 из 10,,изолированные,раздельный,,,,,,возможна ипотека,монолитный,,10,,,,закрытая территория,подземная,31.6 м²,3.1 м,без отделки,ЖК «Клубный город на реке Primavera»,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,Квартал «Вивальди» (корпус 13),,,,
155800000,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_82_m_512_et._7731598826?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,82 м²,12 м²,5 из 12,"гардеробная, панорамные окна",изолированные,"совмещенный, раздельный",на улицу,требует ремонта,,,свободная,возможна ипотека,монолитный,2013,12,1,1,"консьерж, мусоропровод",закрытая территория,подземная,,3.3 м,,,,,,,балкон,есть,да
180000000,https://www.avito.ru/moskva/kvartiry/10_i_bolee-k._kvartira_311_m_1616_et._7328605495?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,10 и больше,311 м²,72 м²,16 из 16,"гардеробная, панорамные окна",изолированные,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,свободная,возможна ипотека,монолитно-кирпичный,2024,16,3,2,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,100 м²,6 м,,,,,,,,,
22200000,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_443_m_3034_et._7749646563?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,44.3 м²,16 м²,30 из 34,"гардеробная, панорамные окна",,раздельный,"на улицу, на солнечную сторону",требует ремонта,,,свободная,возможна ипотека,монолитный,2023,34,2,4,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,20 м²,3.1 м,,,,,,от 731 000 ₽ за 44.3 м²,балкон,есть,да
38500000,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_88_m_59_et._7772458173?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,88 м²,11 м²,5 из 9,,изолированные,совмещенный,во двор,дизайнерский,,,свободная,возможна ипотека,монолитный,2025,9,2,2,консьерж,закрытая территория,подземная,,,,,,,,,,,
29500000,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_969_m_723_et._7648547447?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,4,96.9 м²,15.8 м²,7 из 23,панорамные окна,изолированные,"совмещенный, раздельный","во двор, на улицу, на солнечную сторону",требует ремонта,,,свободная,,монолитный,2015,23,2,2,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,55 м²,3 м,,,,,,,"балкон, лоджия",,
