Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Стоимость ремонта,Способ продажи,Вид сделки,Тип дома,Этажей в доме,В доме,Двор,Парковка,Высота потолков,Мебель,Год постройки,Пассажирский лифт,Грузовой лифт,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Дополнительно,Тёплый пол,Техника,Запланирован снос
5200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_412_m_35_et._7738812205?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,41.2 м²,5.9 м²,24.2 м²,3 из 5,балкон,смежные,совмещенный,"во двор, на улицу",косметический,от 412 000 ₽ за 41.2 м²,альтернативная,возможна ипотека,кирпичный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,,,,,,,,,,,,,,
2900000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_20_m_110_et._7356000932?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,студия,20 м²,,14 м²,1 из 10,,,совмещенный,во двор,косметический,,свободная,возможна ипотека,кирпичный,10,,детская площадка,открытая во дворе,2.6 м,"кухня, хранение одежды, спальные места",2020,1,1,,,,,,,,,
4500000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/1-k._kvartira_302_m_45_et._7762743452?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,1,30.2 м²,6.6 м²,16.1 м²,4 из 5,балкон,,совмещенный,на улицу,косметический,от 302 000 ₽ за 30.2 м²,альтернативная,возможна ипотека,кирпичный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,кухня,1976,нет,нет,,,,,,,,,
7200000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/3-k._kvartira_666_m_110_et._5089635411?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,3,66.6 м²,8.7 м²,39.8 м²,1 из 10,лоджия,"изолированные, смежные",раздельный,"во двор, на улицу, на солнечную сторону",косметический,от 666 000 ₽ за 66.6 м²,свободная,возможна ипотека,монолитный,10,газ,"закрытая территория, детская площадка",открытая во дворе,,"кухня, хранение одежды, спальные места",1991,1,,,,,,,,,,
2990000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_18_m_55_et._7727996355?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,студия,18 м²,,,5 из 5,,,совмещенный,во двор,евро,,свободная,возможна ипотека,кирпичный,5,,детская площадка,открытая во дворе,,кухня,,,,,,,,,,,,
3350000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/kvartira-studiya_24_m_15_et._7459176183?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,студия,24 м²,,17.5 м²,1 из 5,,,совмещенный,во двор,косметический,от 240 000 ₽ за 24 м²,свободная,,кирпичный,5,,"детская площадка, спортивная площадка",открытая во дворе,2.5 м,,1970,нет,нет,,,,,,,,,
15383069.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_646_m_714_et._7719232560?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,64.6 м²,17.7 м²,29.5 м²,7 из 14,,изолированные,совмещенный,во двор,,,договор долевого участия,,монолитный,14,,"закрытая территория, детская площадка, спортивная площадка",,3 м,,,1,1,предчистовая,Жилой квартал «Идель»,Этап 1,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,,,,
4600000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_385_m_55_et._7758319553?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,38.5 м²,5.8 м²,23.7 м²,5 из 5,балкон,изолированные,совмещенный,,требует ремонта,от 693 000 ₽ за 38.5 м²,свободная,,панельный,5,газ,"детская площадка, спортивная площадка",открытая во дворе,,,1971,нет,нет,,,,,,,,,
5650000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_417_m_25_et._7623443029?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,41.7 м²,6 м²,,2 из 5,балкон,изолированные,раздельный,,евро,,свободная,,панельный,5,газ,детская площадка,открытая во дворе,2.5 м,,,нет,нет,,,,,,,,,
6700000.0,https://www.avito.ru/nizhniy_novgorod/kvartiry/2-k._kvartira_433_m_510_et._7885536757?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuV0FXWXQ5c1dTeGFDYzFHIjt9W0DT3T8AAAA,2,43.3 м²,7 м²,28 м²,5 из 10,лоджия,изолированные,раздельный,во двор,косметический,от 433 000 ₽ за 43.3 м²,свободная,возможна ипотека,панельный,10,газ,,открытая во дворе,2.5 м,"кухня, хранение одежды, спальные места",1984,1,,,,,,,,,,
