Цена,Ссылка,Количество комнат,Общая площадь,Жилая площадь,Этаж,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Запланирован снос,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Площадь кухни,Тип комнат,Отделка,Название новостройки,Тип участия,Срок сдачи,"Корпус, строение",Стоимость ремонта,Дополнительно,В доме
4900000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_273_m_69_et._4634810200?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,27.3 м²,13.7 м²,6 из 9,балкон,2.6 м,совмещенный,"во двор, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,монолитно-кирпичный,2017,да,9,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,,,,,,,,,,
11800000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_681_m_812_et._7255446756?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,68.1 м²,41.7 м²,8 из 12,балкон,2.8 м,совмещенный,на улицу,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2025,,12,1,1,,открытая во дворе,11.1 м²,изолированные,,,,,,,,
8162000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_771_m_216_et._7297552146?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,77.1 м²,,2 из 16,лоджия,,раздельный,во двор,,,,,,,монолитный,,,16,,,,,11.4 м²,,без отделки,ЖК «Столетов» (Второй дом),ДДУ по ФЗ 214,Сдача в 4 кв. 2026,,,,
17500000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_902_m_27_et._7779360223?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,90.2 м²,,2 из 7,,2.8 м,,,,,,,договор долевого участия,возможна ипотека,монолитный,,,7,,1,"детская площадка, спортивная площадка",,5 м²,,предчистовая,Квартал «На Декабристов»,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,Дом 6-2 (7 очередь),,,
4900000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_44_m_45_et._7752954372?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,2,44 м²,30.7 м²,4 из 5,балкон,2.5 м,совмещенный,во двор,косметический,,,,свободная,возможна ипотека,панельный,1967,,5,нет,нет,,открытая во дворе,5.9 м²,смежные,,,,,,от 377 000 ₽ за 44 м²,,
29989000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_1113_m_48_et._7564000078?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,111.3 м²,49.5 м²,4 из 8,"балкон, лоджия",3.3 м,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,2021,,8,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,22.4 м²,изолированные,,,,,,,"гардеробная, панорамные окна",
3900000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_414_m_410_et._7781370787?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,41.4 м²,16.6 м²,4 из 10,балкон,2.7 м,раздельный,на улицу,евро,,хранение одежды,,альтернативная,возможна ипотека,панельный,2019,,10,,1,детская площадка,открытая во дворе,11 м²,,,,,,,,гардеробная,
9000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_744_m_2125_et._7439363000?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,3,74.4 м²,,21 из 25,,,,,,,,,,,монолитный,,,25,,,,,,,предчистовая,ЖК «Черемушки» на Приморской,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,Дом 1,,,
5200000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_356_m_312_et._4887911137?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,35.6 м²,20 м²,3 из 12,,2.6 м,раздельный,на улицу,требует ремонта,,,,свободная,возможна ипотека,кирпичный,1973,,12,1,,,открытая во дворе,10 м²,,,,,,,,,
3900000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_296_m_55_et._7705750209?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,1,29.6 м²,18 м²,5 из 5,,,совмещенный,на улицу,косметический,,,,свободная,возможна ипотека,кирпичный,1963,,5,,,,открытая во дворе,6 м²,,,,,,,,,
6780000.0,https://www.avito.ru/novosibirsk/kvartiry/svob._planirovka_46_m_917_et._7729346260?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,свободная планировка,46 м²,35.7 м²,9 из 17,лоджия,2.7 м,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,монолитно-кирпичный,2023,,17,1,1,"детская площадка, спортивная площадка","подземная, открытая во дворе",,,,,,,,от 644 000 ₽ за 46 м²,панорамные окна,
16460000.0,https://www.avito.ru/novosibirsk/kvartiry/4-k._kvartira_111_m_411_et._7654614368?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,4,111 м²,64 м²,4 из 11,лоджия,,совмещенный,во двор,евро,,"кухня, хранение одежды, спальные места",посудомоечная машина,свободная,возможна ипотека,кирпичный,1999,,11,1,нет,"детская площадка, спортивная площадка",за шлагбаумом во дворе,12 м²,изолированные,,,,,,,,
6250000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_315_m_1317_et._7605528045?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYckhDS2lsbkRObXVVRnNtIjt9o8paYT8AAAA,студия,31.5 м²,27.9 м²,13 из 17,лоджия,2.7 м,совмещенный,на улицу,дизайнерский,есть,,,свободная,возможна ипотека,панельный,2023,да,17,1,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",,,,,,,,,,консьерж
