Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Высота потолков,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Жилая площадь,Дополнительно,Стоимость ремонта,В доме,Запланирован снос
22600000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_928_m_1026_et._4033924365?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,3,92.8 м²,12.9 м²,10 из 26,лоджия,изолированные,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитно-кирпичный,2008,26,1,2,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",,,,,,,,,,,
7509600,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_193_m_217_et._7719815299?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,студия,19.3 м²,,2 из 17,,,,,,,,,,,монолитный,,17,1,1,"закрытая территория, детская площадка, спортивная площадка",,2.9 м,предчистовая,ЖК «НОВАЯ ЗЕМЛЯ»,Блок 11.1 (2 этап),ДДУ по ФЗ 214,Сдача в 2 кв. 2032,,,,,
11500000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32_m_615_et._7771034502?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,32 м²,13 м²,6 из 15,,,совмещенный,на улицу,евро,есть,"кухня, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2024,15,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,11.1 м²,,,,
37900000,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_113_m_27_et._7769458260?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,4,113 м²,12 м²,2 из 7,,"изолированные, смежные",раздельный,"во двор, на улицу",дизайнерский,есть,"кухня, хранение одежды, спальные места","холодильник, посудомоечная машина",свободная,возможна ипотека,кирпичный,1910,7,1,нет,закрытая территория,"подземная, открытая во дворе, за шлагбаумом во дворе",3.2 м,,,,,,64 м²,гардеробная,,,
23500000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_881_m_44_et._7772061134?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,88.1 м²,24 м²,4 из 4,лоджия,изолированные,совмещенный,"во двор, на улицу",косметический,есть,,,свободная,,монолитно-кирпичный,2025,4,нет,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",5.1 м,,,,,,40.2 м²,,от 1 133 000 ₽ за 88.1 м²,,
7950000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_521_m_78_et._7706195982?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,52.1 м²,14 м²,7 из 8,балкон,,совмещенный,"во двор, на улицу",,,,,договор долевого участия,,монолитный,,8,,1,"детская площадка, спортивная площадка",,2.7 м,предчистовая,Квартал «Брусника в Новоселье»,2 очередь,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,24.3 м²,,,,
17500000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_568_m_125_et._7527487678?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,2,56.8 м²,9.1 м²,1 из 25,,изолированные,раздельный,на улицу,дизайнерский,есть,"кухня, хранение одежды, спальные места",холодильник,свободная,возможна ипотека,панельный,2016,25,2,1,"закрытая территория, детская площадка, спортивная площадка",,2.8 м,,,,,,33.7 м²,,,консьерж,
15080000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_533_m_15_et._7343102519?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,3,53.3 м²,5.8 м²,1 из 5,,"изолированные, смежные",раздельный,на улицу,косметический,,,,свободная,возможна ипотека,кирпичный,1961,5,,,,,2.5 м,,,,,,36.6 м²,,,,
11902800,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_436_m_35_et._3395261935?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI1V1hGSFRxRG9xMTVhcTdyIjt9CljRhD8AAAA,1,43.6 м²,,3 из 5,балкон,,,,,,,,,возможна ипотека,монолитно-кирпичный,,5,,,,,2.9 м,без отделки,ЖК «Loft у Озера»,Участок 12,другое,Сдан 3 кв. 2024,,,,,
28000000,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_103_m_525_et._7647380562?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiaXVqZ2x3djdmeHRsY2lxc3d0ZG9ibmVtY3l4d2E1aSI7fal3ZSVzAAAA,4,103 м²,15.4 м²,5 из 25,лоджия,"изолированные, смежные",раздельный,"во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2018,25,2,1,"детская площадка, спортивная площадка","подземная, наземная многоуровневая, открытая во дворе",2.8 м,,,,,,65.4 м²,гардеробная,,,
